BATHRM,HF_BATHRM,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,ZIPCODE,WARD,PRIME,AC_N,AC_Y,QUADRANT_NE,QUADRANT_NW,QUADRANT_SE,QUADRANT_SW,PRICE,INDEX_BIN
1,1,6,4,2000.0,1.0,0,960,20009.0,1,9.083333333333334,0.0,1.0,0.0,1.0,0.0,0.0,1120000.0,44
2,0,7,4,2008.0,1.0,1,960,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,834000.0,33
1,0,6,2,2007.0,1.0,0,1120,20009.0,1,7.5,1.0,0.0,0.0,1.0,0.0,0.0,255000.0,10
1,1,6,2,2011.0,1.0,0,1120,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1065000.0,42
1,1,6,2,2008.0,1.0,0,815,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,915000.0,36
1,1,6,3,2014.0,1.0,0,815,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,250000.0,9
2,0,6,2,2014.0,1.0,2,815,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,536500.0,21
2,0,6,3,2017.0,1.0,1,952,20009.0,1,4.25,0.0,1.0,0.0,1.0,0.0,0.0,289000.0,11
2,1,6,3,2013.0,1.0,0,1760,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,550000.0,21
1,0,6,3,2018.0,1.0,0,1760,20009.0,1,5.125,1.0,0.0,0.0,1.0,0.0,0.0,495000.0,19
2,1,6,3,2016.0,1.0,1,1760,20009.0,1,3.75,0.0,1.0,0.0,1.0,0.0,0.0,625000.0,24
2,0,8,3,2015.0,1.0,1,1760,20009.0,1,3.5,0.0,1.0,0.0,1.0,0.0,0.0,485000.0,19
1,0,7,3,2006.0,1.0,2,1492,20009.0,1,7.875,1.0,0.0,0.0,1.0,0.0,0.0,899000.0,35
1,0,8,4,2007.0,1.0,1,1492,20009.0,1,7.5,0.0,1.0,0.0,1.0,0.0,0.0,210000.0,8
1,1,5,3,2017.0,1.0,2,1125,20009.0,1,4.25,0.0,1.0,0.0,1.0,0.0,0.0,778000.0,31
1,0,5,3,2018.0,1.0,0,1125,20009.0,1,5.125,1.0,0.0,0.0,1.0,0.0,0.0,450000.0,17
1,0,6,3,2018.0,1.0,0,1125,20009.0,1,5.125,1.0,0.0,0.0,1.0,0.0,0.0,875000.0,34
1,1,5,2,2016.0,1.0,0,1125,20009.0,1,3.75,0.0,1.0,0.0,1.0,0.0,0.0,680000.0,27
3,1,7,3,2009.0,1.0,0,1121,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,265000.0,10
2,0,7,2,2017.0,1.0,1,362,20037.0,2,4.25,0.0,1.0,0.0,1.0,0.0,0.0,1050000.0,41
2,1,6,2,2003.0,1.0,1,1600,20037.0,2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,380000.0,15
2,2,4,2,2012.0,1.0,1,1127,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,517000.0,20
2,2,6,3,2015.0,1.0,1,1393,20037.0,2,3.5,0.0,1.0,0.0,1.0,0.0,0.0,1110000.0,44
3,0,5,3,2007.0,1.0,1,997,20037.0,2,7.5,0.0,1.0,0.0,1.0,0.0,0.0,300000.0,11
2,1,5,2,2014.0,1.0,1,873,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,746500.0,29
1,0,5,2,2012.0,1.0,1,1726,20037.0,2,3.25,1.0,0.0,0.0,1.0,0.0,0.0,785000.0,31
1,1,5,2,2012.0,1.0,1,1726,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,555000.0,22
3,1,6,3,2004.0,1.0,1,987,20037.0,2,4.75,0.0,1.0,0.0,1.0,0.0,0.0,760000.0,30
3,1,6,3,2011.0,1.0,1,987,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,800000.0,31
2,0,7,3,2008.0,1.0,0,1323,20037.0,2,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,878750.0,35
2,0,6,2,2005.0,1.0,1,952,20009.0,1,6.375,0.0,1.0,0.0,1.0,0.0,0.0,447500.0,17
3,0,6,2,2016.0,1.0,1,952,20009.0,1,3.75,0.0,1.0,0.0,1.0,0.0,0.0,289000.0,11
2,1,8,5,2016.0,1.0,1,1300,20009.0,1,3.75,0.0,1.0,0.0,1.0,0.0,0.0,825000.0,32
1,1,6,3,2014.0,1.0,0,960,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,655000.0,26
1,1,6,3,2013.0,1.0,0,960,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,165000.0,6
1,1,6,3,2000.0,1.0,1,960,20009.0,1,9.083333333333334,0.0,1.0,0.0,1.0,0.0,0.0,665000.0,26
2,1,6,2,2007.0,1.0,1,960,20009.0,1,7.5,0.0,1.0,0.0,1.0,0.0,0.0,215000.0,8
1,1,6,3,2006.0,1.0,1,960,20009.0,1,7.875,0.0,1.0,0.0,1.0,0.0,0.0,141000.0,5
2,1,6,3,2009.0,1.0,0,960,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,825000.0,32
3,1,6,4,2015.0,1.0,0,990,20009.0,1,3.5,0.0,1.0,0.0,1.0,0.0,0.0,928000.0,37
2,0,6,3,2015.0,1.0,0,1150,20009.0,1,3.5,0.0,1.0,0.0,1.0,0.0,0.0,1050000.0,41
1,1,6,2,2008.0,1.0,0,1162,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,375500.0,15
1,1,6,2,2008.0,1.0,0,1162,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,1250000.0,49
1,1,7,2,2009.0,1.0,0,1162,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,290000.0,11
2,1,6,2,2006.0,1.0,1,1162,20009.0,1,7.875,0.0,1.0,0.0,1.0,0.0,0.0,1400000.0,55
1,1,6,3,2010.0,1.0,1,1162,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,393000.0,15
1,1,6,3,2010.0,1.0,1,1162,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1250000.0,49
2,0,6,2,2013.0,1.0,1,1162,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1395000.0,55
1,1,6,2,2013.0,1.0,1,1125,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,950000.0,37
3,1,9,3,2016.0,1.0,2,1056,20009.0,1,3.75,0.0,1.0,0.0,1.0,0.0,0.0,305000.0,12
1,0,4,2,2011.0,1.0,0,1254,20009.0,2,3.25,1.0,0.0,0.0,1.0,0.0,0.0,548000.0,21
2,0,9,3,2013.0,1.0,0,2033,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,852500.0,34
3,1,8,4,2011.0,1.0,0,924,20036.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1060000.0,42
3,1,7,3,2009.0,1.0,1,1103,20036.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,310000.0,12
3,1,7,3,2006.0,1.0,1,1183,20036.0,2,7.875,0.0,1.0,0.0,1.0,0.0,0.0,360000.0,14
3,0,11,4,2003.0,1.0,2,1400,20009.0,2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,525000.0,20
2,0,7,5,2015.0,1.0,0,939,20037.0,2,3.5,0.0,1.0,0.0,1.0,0.0,0.0,780000.0,31
3,0,7,4,2017.0,1.0,1,1163,20037.0,2,4.25,0.0,1.0,0.0,1.0,0.0,0.0,965150.0,38
3,1,9,4,2003.0,1.0,0,796,20037.0,2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,625000.0,24
1,1,6,2,2003.0,1.0,0,960,20052.0,2,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1180000.0,47
1,1,6,2,2008.0,1.0,1,1052,20008.0,2,4.928571428571429,1.0,0.0,0.0,1.0,0.0,0.0,735000.0,29
2,1,7,2,2016.0,1.0,0,968,20008.0,2,3.75,0.0,1.0,0.0,1.0,0.0,0.0,1200000.0,47
1,1,7,2,2005.0,1.0,1,787,20008.0,2,6.375,0.0,1.0,0.0,1.0,0.0,0.0,771200.0,30
2,0,5,2,2006.0,1.0,0,960,20009.0,1,7.875,0.0,1.0,0.0,1.0,0.0,0.0,275000.0,10
1,1,6,3,2005.0,1.0,1,960,20009.0,1,6.375,0.0,1.0,0.0,1.0,0.0,0.0,1175000.0,46
2,1,7,3,2017.0,1.0,1,1450,20009.0,1,4.25,0.0,1.0,0.0,1.0,0.0,0.0,1231000.0,49
2,1,6,3,2017.0,1.0,1,1450,20009.0,1,4.25,0.0,1.0,0.0,1.0,0.0,0.0,772000.0,30
1,1,6,3,2009.0,1.0,1,1134,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,755000.0,30
2,1,7,3,2010.0,1.0,0,1133,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,118000.0,4
3,1,7,3,2012.0,1.0,0,1133,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,251000.0,10
1,1,6,3,2008.0,1.0,1,1133,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,625000.0,24
3,0,6,3,2008.0,1.0,1,1213,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,606500.0,24
3,1,9,3,2015.0,1.0,1,1882,20009.0,1,3.5,0.0,1.0,0.0,1.0,0.0,0.0,534000.0,21
2,1,6,3,2008.0,1.0,0,771,20009.0,1,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,1014000.0,40
1,1,6,4,2014.0,1.0,0,870,20009.0,1,3.25,0.0,1.0,0.0,1.0,0.0,0.0,932000.0,37
1,1,8,4,2003.0,1.0,1,1492,20009.0,1,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1039000.0,41
1,1,6,4,2010.0,1.0,2,1600,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,451550.0,18
2,0,5,2,2000.0,1.0,1,1600,20009.0,2,9.083333333333334,0.0,1.0,0.0,1.0,0.0,0.0,1200000.0,47
3,0,9,3,2007.0,1.0,1,1587,20009.0,2,7.5,0.0,1.0,0.0,1.0,0.0,0.0,1260000.0,50
2,1,6,3,2014.0,1.0,0,1496,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1070000.0,42
3,1,8,4,2018.0,1.0,1,1891,20009.0,2,5.125,0.0,1.0,0.0,1.0,0.0,0.0,649000.0,25
2,1,8,4,2000.0,1.0,2,1800,20009.0,2,9.083333333333334,1.0,0.0,0.0,1.0,0.0,0.0,1405000.0,56
2,0,9,4,2003.0,1.0,2,1400,20009.0,2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1050000.0,41
3,0,8,4,2012.0,1.0,1,1667,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,771000.0,30
3,1,7,4,2006.0,1.0,1,1667,20009.0,2,7.875,0.0,1.0,0.0,1.0,0.0,0.0,1025000.0,40
1,0,5,3,2017.0,1.0,0,1423,20009.0,2,4.25,1.0,0.0,0.0,1.0,0.0,0.0,475000.0,18
2,0,7,3,2017.0,1.0,0,1423,20009.0,2,4.25,0.0,1.0,0.0,1.0,0.0,0.0,749000.0,29
2,1,6,3,2010.0,1.0,0,1423,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,375000.0,14
1,0,6,3,2007.0,1.0,0,1423,20009.0,2,7.5,0.0,1.0,0.0,1.0,0.0,0.0,680000.0,27
2,0,6,3,2018.0,1.0,1,1423,20009.0,2,5.125,0.0,1.0,0.0,1.0,0.0,0.0,1140000.0,45
1,0,6,2,2013.0,1.0,0,1423,20009.0,2,3.25,1.0,0.0,0.0,1.0,0.0,0.0,730000.0,29
1,0,5,2,2017.0,1.0,2,1423,20009.0,2,4.25,0.0,1.0,0.0,1.0,0.0,0.0,310000.0,12
3,1,6,2,2008.0,1.0,1,1243,20008.0,2,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,1015000.0,40
2,1,6,3,2009.0,1.0,1,268,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1210000.0,48
3,0,11,3,2008.0,1.0,1,1250,20008.0,2,4.928571428571429,0.0,1.0,0.0,1.0,0.0,0.0,375000.0,14
2,1,7,4,2010.0,1.0,1,1600,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,327500.0,13
1,0,7,3,2016.0,1.0,1,1742,20037.0,2,3.75,1.0,0.0,0.0,1.0,0.0,0.0,1370000.0,54
1,1,6,3,2004.0,1.0,0,1600,20009.0,2,4.75,0.0,1.0,0.0,1.0,0.0,0.0,233250.0,9
1,1,7,2,2007.0,1.0,0,1386,20009.0,2,7.5,0.0,1.0,0.0,1.0,0.0,0.0,1150000.0,45
3,1,10,4,2010.0,1.0,2,2000,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,1275000.0,50
1,0,6,3,2014.0,1.0,1,1423,20009.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,370000.0,14
1,1,6,3,2013.0,1.0,1,1423,20009.0,2,3.25,1.0,0.0,0.0,1.0,0.0,0.0,585000.0,23
1,0,8,5,2016.0,1.0,0,1400,20009.0,2,3.75,0.0,1.0,0.0,1.0,0.0,0.0,625000.0,24
1,1,7,2,2005.0,1.0,1,894,20037.0,2,6.375,1.0,0.0,0.0,1.0,0.0,0.0,534000.0,21
1,0,6,3,2016.0,1.0,1,894,20037.0,2,3.75,1.0,0.0,0.0,1.0,0.0,0.0,1155200.0,46
1,1,6,3,2000.0,1.0,1,960,20037.0,2,9.083333333333334,1.0,0.0,0.0,1.0,0.0,0.0,1037500.0,41
2,0,6,2,2007.0,1.0,1,840,20037.0,2,7.5,0.0,1.0,0.0,1.0,0.0,0.0,741600.0,29
1,1,7,2,2018.0,1.0,1,840,20037.0,2,5.125,0.0,1.0,0.0,1.0,0.0,0.0,730000.0,29
2,0,4,2,2016.0,1.0,1,840,20037.0,2,3.75,0.0,1.0,0.0,1.0,0.0,0.0,755000.0,30
1,1,6,2,2004.0,1.0,1,840,20037.0,2,4.75,0.0,1.0,0.0,1.0,0.0,0.0,716495.0,28
1,1,6,2,2010.0,1.0,1,840,20037.0,2,3.25,0.0,1.0,0.0,1.0,0.0,0.0,849000.0,33
