DATE,PRIME
1982,14.58
1983,10.83
1984,12
1985,10
1986,8.25
1987,8.54
1988,9.5
1989,11
1990,10
1991,8.17
1992,6
1994,7.3
1995,8.75
1996,8.25
1997,8.5
1998,8
1999,8.25
2000,9.08
2001,6.77
2002,4.25
2003,4
2004,4.75
2005,6.38
2006,7.88
2007,7.5
2008,4.93
2015,3.5
2016,3.75
2017,4.25
2018,5.12
2019,5
1993,6
2009,4.93
2010,4.93
2011,4.93
2012,4.93
2013,4.93
2014,4.93
