index,BATHRM,HF_BATHRM,AC,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,LONGITUDE,LATITUDE,QUADRANT,PRICE,ZIPCODE,WARD
0,3,1,Y,9,5,2016,2,4,1680,-77.04067788,38.91468351,NW,2100000,20009,2
1,3,1,Y,8,5,2006,2,3,1680,-77.04062899,38.91468254,NW,1602000,20009,2
2,3,2,Y,10,5,2010,1,4,2196,-77.03971453,38.91433108,NW,1950000,20009,2
3,3,1,Y,8,4,2011,2,1,1627,-77.04012874,38.9154077,NW,1050000,20009,2
4,3,1,Y,7,3,2018,2,1,1424,-77.03990344,38.91501736,NW,1430000,20009,2
5,3,1,Y,5,3,2011,2,1,1815,-77.03971585,38.91503805,NW,1325000,20009,2
6,3,1,Y,8,3,2010,1,0,1424,-77.03984429,38.9150181,NW,1240000,20009,2
7,3,1,Y,9,3,2001,2,1,1424,-77.04013809,38.91501863,NW,592250,20009,2
8,3,1,Y,14,5,2016,1,3,2090,-77.03377377,38.9113701,NW,33232,20009,2
9,1,0,Y,6,3,2006,1,0,2090,-77.03392492,38.91136808,NW,907400,20009,2
10,2,1,Y,5,3,2012,1,1,2090,-77.03397185,38.91136779,NW,1065000,20009,2
11,2,1,Y,8,3,2012,1,2,2090,-77.03407029,38.91131903,NW,1100000,20009,2
12,1,0,N,8,4,1996,1,0,2090,-77.03415574,38.91133747,NW,20000,20009,2
13,3,1,Y,11,3,2013,2,3,1853,-77.03405099,38.91169919,NW,1210000,20009,2
14,2,1,Y,6,2,1999,1,3,1853,-77.03384576,38.9117097,NW,130500,20009,2
15,2,2,Y,8,4,1997,2,0,1853,-77.03336691,38.9117011,NW,339500,20009,2
16,3,1,Y,9,4,2006,2,0,1853,-77.03315557,38.91170629,NW,1050000,20009,2
17,3,1,Y,9,4,2016,2,2,1853,-77.03308685,38.91171027,NW,1550000,20009,2
18,3,1,Y,9,4,2015,2,2,1853,-77.0329501,38.91169563,NW,1599900,20009,2
19,3,1,Y,13,4,2018,2,3,1853,-77.0328838,38.91170384,NW,1700000,20009,2
20,3,2,Y,10,4,2017,2,2,1853,-77.03281462,38.91170567,NW,1700000,20009,2
21,3,1,Y,10,5,2001,2,0,1853,-77.03274429,38.91171623,NW,450000,20009,2
22,3,1,Y,9,4,2011,2,2,1971,-77.03267223,38.91171643,NW,846000,20009,2
23,2,1,N,8,3,1999,2,0,1853,-77.03295117,38.91202434,NW,348500,20009,2
24,2,1,Y,8,3,2009,2,2,1853,-77.03322582,38.9120249,NW,849000,20009,2
25,3,1,Y,5,4,2006,2,2,1853,-77.03355869,38.9120194,NW,1312000,20009,2
26,1,1,Y,4,2,1997,2,0,1853,-77.0337049,38.9120416,NW,390000,20009,2
27,3,1,Y,8,3,2004,2,2,1853,-77.0337667,38.91202114,NW,772500,20009,2
28,1,0,N,4,1,2010,2,1,374,-77.03505272,38.91474119,NW,499000,20009,2
29,2,0,N,9,2,2000,2,2,456,-77.03498434,38.9147422,NW,216000,20009,2
30,3,1,Y,8,3,2002,2,2,1372,-77.0348454,38.91426921,NW,636090,20009,2
31,3,0,Y,10,6,2012,2,3,1400,-77.0348305,38.91279707,NW,1255000,20009,2
32,3,0,Y,10,4,2005,2,2,1400,-77.03495733,38.91279361,NW,990000,20009,2
33,2,0,Y,6,3,2007,2,1,791,-77.03822639,38.91601595,NW,682500,20009,2
34,4,2,Y,8,3,2014,1,1,814,-77.03822571,38.91604937,NW,993500,20009,2
35,2,1,Y,7,2,2009,1,1,838,-77.03822735,38.91608432,NW,745000,20009,2
36,2,1,Y,11,4,2005,2,2,1236,-77.03773306,38.91614835,NW,848500,20009,2
37,2,1,Y,11,3,1995,2,2,1185,-77.03776232,38.91611249,NW,277000,20009,2
38,2,1,Y,11,4,2013,2,2,1183,-77.03776518,38.91605339,NW,1155000,20009,2
39,2,1,Y,11,3,2017,2,2,1320,-77.03786325,38.9159549,NW,1363000,20009,2
40,3,1,Y,11,4,2010,2,2,1368,-77.03788941,38.91592138,NW,1148000,20009,2
41,3,1,Y,9,3,2005,2,0,1795,-77.03721308,38.9142865,NW,900000,20009,2
42,2,1,Y,6,2,2005,1,0,1700,-77.03751021,38.91426911,NW,872000,20009,2
43,4,1,Y,8,4,2015,2,2,1968,-77.037504,38.91538326,NW,1925000,20009,2
44,2,0,N,7,4,1995,1,0,1062,-77.04844945,38.89716129,NW,360000,20037,2
45,2,1,Y,7,3,2014,1,2,1000,-77.0463724,38.91349607,NW,1280000,20009,2
46,4,1,Y,11,5,1997,2,3,2678,-77.04599075,38.91279384,NW,750000,20009,2
47,4,1,Y,11,6,2017,2,2,1224,-77.04644353,38.91276223,NW,1844970,20009,2
48,3,1,Y,8,4,2011,2,3,1960,-77.04570984,38.91130425,NW,1680000,20009,2
49,2,1,Y,9,3,2018,2,2,1620,-77.04568854,38.91170305,NW,2150000,20009,2
50,2,1,Y,9,3,2014,1,4,1800,-77.04590112,38.91201295,NW,1905000,20009,2
51,1,1,Y,6,3,2005,1,0,1424,-77.04019759,38.91501663,NW,860000,20009,2
52,2,1,Y,6,3,2012,1,0,1424,-77.04025524,38.91502138,NW,890000,20009,2
53,3,1,Y,6,3,2018,2,0,1424,-77.04031347,38.91502073,NW,1345000,20009,2
54,1,0,Y,6,3,1994,1,0,1424,-77.04037343,38.91501675,NW,282777,20009,2
55,3,1,Y,9,3,2006,1,1,1424,-77.04043166,38.91502267,NW,715000,20009,2
56,3,1,Y,7,3,2013,2,0,1424,-77.04048943,38.91501319,NW,1315000,20009,2
57,3,1,Y,9,4,2015,2,1,1424,-77.04054754,38.91501191,NW,1440000,20009,2
58,1,1,N,6,3,2000,1,0,1412,-77.04060669,38.91500567,NW,229161,20009,2
59,3,1,N,7,5,2011,1,0,1627,-77.04060712,38.91536069,NW,1060000,20009,2
60,2,2,Y,8,5,2017,2,1,1627,-77.0405467,38.91535621,NW,1925000,20009,2
61,3,0,N,9,3,2010,2,0,1627,-77.04042678,38.91536535,NW,979000,20009,2
62,4,1,Y,9,4,2015,2,1,1627,-77.04030709,38.91536242,NW,1737000,20009,2
63,2,0,Y,6,3,2015,2,1,680,-77.04192908,38.91177293,NW,865000,20009,2
64,2,1,Y,5,2,2007,1,1,680,-77.04203954,38.91176982,NW,795000,20009,2
65,2,0,Y,6,3,2017,1,1,652,-77.04209868,38.91176881,NW,950000,20009,2
66,2,1,Y,5,2,2012,1,1,710,-77.04217168,38.91178239,NW,799000,20009,2
67,2,0,N,7,2,2014,1,3,1800,-77.04316998,38.91220289,NW,1050000,20009,2
68,2,1,Y,6,3,2008,1,3,1800,-77.04316597,38.91225631,NW,1100000,20009,2
69,2,1,Y,7,3,2017,2,1,1800,-77.04315528,38.91230694,NW,1330000,20009,2
70,2,1,Y,6,3,2001,1,1,510,-77.03881868,38.91827297,NW,200000,20009,1
71,2,0,Y,6,3,2013,1,1,421,-77.03886676,38.91826566,NW,650000,20009,1
72,1,1,Y,6,1,2005,1,0,331,-77.03892072,38.91824997,NW,660000,20009,1
73,2,0,Y,6,3,2016,1,0,560,-77.03870442,38.91828932,NW,830000,20009,1
74,1,1,Y,6,3,2017,1,0,827,-77.03921686,38.91744741,NW,635000,20009,1
75,1,1,Y,6,3,2010,1,1,827,-77.03911078,38.91745492,NW,673500,20009,1
76,3,1,Y,7,2,1993,2,3,1853,-77.03384199,38.91203562,NW,317000,20009,2
77,3,1,Y,6,4,2010,2,2,922,-77.03421683,38.91129944,NW,1048500,20009,2
78,3,0,Y,8,4,2017,2,2,818,-77.03434585,38.91130111,NW,2020000,20009,2
79,2,0,N,10,5,1994,2,0,896,-77.03430097,38.91148129,NW,127000,20009,2
80,2,0,N,8,4,2018,2,0,517,-77.03252949,38.91196519,NW,990000,20009,2
81,3,1,Y,7,3,2012,2,2,429,-77.03433196,38.91166622,NW,820000,20009,2
82,2,1,Y,8,3,2009,2,0,1853,-77.03315733,38.91202473,NW,822500,20009,2
83,3,0,Y,8,2,2004,2,1,1458,-77.03411959,38.91095967,NW,705500,20009,2
84,2,0,Y,6,2,2012,1,1,1170,-77.03400442,38.91026363,NW,900000,20005,2
85,1,1,Y,8,3,1997,1,0,1428,-77.03338271,38.91095826,NW,250000,20009,2
86,2,0,N,6,3,1998,1,0,1364,-77.03333451,38.91095792,NW,140000,20009,2
87,2,0,Y,6,3,2000,2,1,2208,-77.032993,38.91098315,NW,450000,20009,2
88,3,1,Y,12,3,2017,2,3,2150,-77.03374913,38.91095681,NW,2000000,20009,2
89,3,0,Y,10,5,2016,1,1,1612,-77.03386777,38.91095893,NW,1410000,20009,2
90,2,0,N,8,5,1993,1,0,2150,-77.03359901,38.91096063,NW,349000,20009,2
91,2,0,Y,9,3,1997,2,1,1900,-77.03743401,38.91538319,NW,371000,20009,2
92,3,1,Y,15,7,2013,2,4,1900,-77.03736263,38.91538376,NW,1700000,20009,2
93,4,0,Y,10,6,2010,2,3,1900,-77.03722264,38.91536939,NW,1255000,20009,2
94,3,0,Y,9,3,1998,2,3,2100,-77.03757711,38.91430701,NW,501000,20009,2
95,5,2,Y,10,6,2008,2,0,2100,-77.03787355,38.914288,NW,1430000,20009,2
96,2,1,Y,7,4,2017,1,1,1450,-77.03689343,38.91467684,NW,1510000,20009,2
97,2,0,Y,7,3,2013,1,2,1450,-77.03689295,38.91463594,NW,1050000,20009,2
98,2,1,Y,8,3,2009,1,2,1450,-77.03689613,38.91455748,NW,910000,20009,2
99,2,1,Y,6,3,2016,1,1,1637,-77.03750859,38.91469025,NW,1210000,20009,2
100,1,0,Y,6,3,2003,1,1,1622,-77.03744771,38.91468982,NW,580000,20009,2
101,1,1,Y,4,3,2007,1,1,1625,-77.03738856,38.91468965,NW,890000,20009,2
102,1,0,Y,8,4,2001,1,1,1619,-77.0373279,38.9146813,NW,170000,20009,2
103,1,0,Y,6,3,2001,2,1,1623,-77.03726829,38.91468987,NW,550000,20009,2
104,3,0,N,7,3,2007,2,3,1036,-77.03686699,38.91594666,NW,890000,20009,2
105,2,1,Y,6,3,2017,2,1,1015,-77.03686708,38.91589991,NW,1120000,20009,2
106,2,1,Y,8,3,2008,2,2,970,-77.03686556,38.91585325,NW,834000,20009,2
107,2,1,Y,6,3,2008,2,2,996,-77.03686599,38.91580767,NW,905000,20009,2
108,1,1,Y,7,2,1994,1,1,1014,-77.03718859,38.91596395,NW,255000,20009,2
109,4,1,Y,12,3,2013,2,0,1030,-77.03710042,38.91604154,NW,1065000,20009,2
110,1,1,Y,6,2,2014,1,3,900,-77.03733829,38.91580652,NW,900000,20009,2
111,1,1,Y,6,2,2017,1,1,900,-77.03730095,38.91584716,NW,915000,20009,2
112,1,1,Y,5,2,1994,1,1,900,-77.03726281,38.91588393,NW,250000,20009,2
113,3,1,Y,8,5,2006,2,2,1666,-77.0463719,38.91237823,NW,2000000,20009,2
114,3,1,Y,12,4,2006,2,2,1633,-77.04585525,38.91240005,NW,1690000,20009,2
115,4,1,Y,7,4,2006,1,2,1080,-77.04638161,38.91205915,NW,1575000,20009,2
116,5,1,Y,9,5,2017,2,2,1080,-77.04640506,38.91212292,NW,2295000,20009,2
117,3,1,N,13,7,1992,2,3,1113,-77.04637244,38.91195943,NW,536500,20009,2
118,3,1,Y,12,5,2017,2,2,1047,-77.04638216,38.91201276,NW,1670000,20009,2
119,3,1,Y,8,4,1997,2,0,731,-77.04551208,38.91199679,NW,289000,20009,2
120,3,1,Y,8,3,1992,2,1,1230,-77.04558968,38.91199532,NW,360000,20009,2
121,1,0,Y,6,2,2007,1,0,718,-77.05234727,38.90053837,NW,340000,20037,2
122,2,1,Y,5,3,2003,1,1,799,-77.05288739,38.89994664,NW,625000,20037,2
123,1,0,N,6,3,1999,1,1,714,-77.05291435,38.89991519,NW,271000,20037,2
124,1,0,Y,4,2,2002,1,0,461,-77.05298632,38.8998094,NW,375000,20037,2
125,2,0,Y,6,2,2018,1,1,609,-77.05313037,38.89973925,NW,1080000,20037,2
126,1,0,Y,4,2,2005,1,2,408,-77.05309666,38.89983295,NW,550000,20037,2
127,1,0,Y,4,2,2008,1,0,499,-77.05310294,38.89990087,NW,495000,20037,2
128,2,0,Y,4,2,2005,1,0,589,-77.05308051,38.89997367,NW,625000,20037,2
129,1,0,Y,4,2,2003,1,1,632,-77.05308377,38.90001087,NW,485000,20037,2
130,1,1,Y,6,3,2018,1,1,827,-77.03901058,38.91745495,NW,899000,20009,1
131,1,1,Y,6,3,1998,1,1,827,-77.03890391,38.91745247,NW,210000,20009,1
132,1,1,Y,6,3,2002,1,1,827,-77.03885225,38.91745338,NW,490500,20009,1
133,2,0,Y,6,3,2016,1,1,827,-77.03879737,38.91745169,NW,778000,20009,1
134,1,1,Y,6,3,2003,1,1,827,-77.03874144,38.91745423,NW,450000,20009,1
135,1,1,Y,6,3,2017,1,0,827,-77.03875332,38.91767187,NW,875000,20009,1
136,2,0,Y,7,3,2011,1,1,827,-77.03889907,38.91767137,NW,680000,20009,1
137,2,0,Y,7,3,2003,1,0,827,-77.03895927,38.91767099,NW,265000,20009,1
138,2,0,Y,6,3,2006,1,1,827,-77.03901092,38.9176707,NW,675000,20009,1
139,1,1,N,6,3,1995,1,0,827,-77.03910156,38.91767337,NW,70000,20009,1
140,1,1,Y,6,3,2017,1,1,827,-77.03915587,38.91767002,NW,880000,20009,1
141,1,1,Y,6,2,2006,1,1,827,-77.03921388,38.91767883,NW,575000,20009,1
142,5,1,Y,7,5,2013,2,2,1120,-77.03872952,38.91780295,NW,1050000,20009,1
143,2,1,Y,8,3,2016,2,1,960,-77.03976148,38.91767135,NW,970000,20009,1
144,1,1,Y,6,4,2000,1,0,960,-77.03981775,38.91767133,NW,380000,20009,1
145,2,0,Y,7,4,2008,1,1,960,-77.03987345,38.91767122,NW,517000,20009,1
146,2,1,Y,8,3,2016,2,1,960,-77.03998564,38.91767109,NW,1110000,20009,1
147,1,0,N,6,2,2007,1,0,1120,-77.03993114,38.91794857,NW,300000,20009,1
148,1,1,Y,6,2,2011,1,0,1120,-77.03987418,38.91795769,NW,746500,20009,1
149,2,0,Y,8,3,2016,2,0,1120,-77.03976141,38.91795097,NW,785000,20009,1
150,1,1,Y,6,2,2008,1,0,815,-77.03956454,38.91768691,NW,555000,20009,1
151,1,1,Y,6,3,2014,1,0,815,-77.03961343,38.91768626,NW,760000,20009,1
152,2,0,Y,6,2,2014,1,2,815,-77.03966059,38.91768535,NW,755000,20009,1
153,2,0,Y,6,3,2017,1,1,952,-77.03971113,38.91794783,NW,800000,20009,1
154,2,1,N,9,4,2004,2,0,2150,-77.03291597,38.91095425,NW,203600,20009,2
155,3,1,Y,10,4,2001,2,0,2273,-77.03283776,38.91086905,NW,825000,20009,2
156,3,1,Y,13,3,2003,2,2,2150,-77.03268789,38.91091972,NW,878750,20009,2
157,4,2,Y,13,5,1993,2,0,2092,-77.03307232,38.91095322,NW,447500,20009,2
158,2,0,N,6,2,2000,2,0,1163,-77.034033,38.91096159,NW,289000,20009,2
159,3,1,Y,7,3,2012,2,1,746,-77.03276994,38.90830368,NW,800000,20005,2
160,3,1,Y,7,3,2011,2,1,734,-77.03272394,38.90831846,NW,825000,20005,2
161,2,1,Y,6,3,2013,1,0,1760,-77.02997774,38.91988356,NW,1049900,20009,1
162,1,0,N,6,3,2018,1,0,1760,-77.02998445,38.91992788,NW,715000,20009,1
163,2,1,Y,6,3,2016,1,1,1760,-77.02998585,38.91997085,NW,1175000,20009,1
164,2,0,Y,8,3,2015,1,1,1760,-77.03000341,38.9200603,NW,175145,20009,1
165,1,0,N,7,3,2006,1,2,1492,-77.03064759,38.92013886,NW,655000,20009,1
166,2,1,Y,9,5,1998,1,0,1495,-77.03051521,38.92013908,NW,165000,20009,1
167,1,0,Y,8,4,2007,1,1,1492,-77.03046126,38.92016531,NW,665000,20009,1
168,4,0,Y,6,4,2002,2,2,2970,-77.03001934,38.92010471,NW,215000,20009,1
169,1,0,N,8,5,1998,1,1,1125,-77.03093646,38.91828731,NW,141000,20009,1
170,1,1,Y,5,3,2017,1,2,1125,-77.03098996,38.91828342,NW,825000,20009,1
171,1,0,N,5,3,2018,1,0,1125,-77.03104046,38.9182753,NW,928000,20009,1
172,1,0,N,6,3,2018,1,0,1125,-77.03109466,38.91827709,NW,700000,20009,1
173,1,1,Y,5,2,2016,1,0,1125,-77.03114759,38.91827662,NW,870000,20009,1
174,3,1,Y,7,3,2009,1,0,1121,-77.03120444,38.91827525,NW,816800,20009,1
175,1,1,Y,9,4,1996,1,1,1478,-77.03685568,38.91615647,NW,325000,20009,2
176,3,1,Y,11,4,2013,2,2,1860,-77.03803058,38.91318506,NW,1500000,20009,2
177,3,1,Y,7,4,2005,2,2,1860,-77.03752396,38.91321116,NW,1400000,20009,2
178,3,1,Y,11,5,1996,2,0,1859,-77.03745269,38.91319695,NW,393000,20009,2
179,3,0,N,6,3,2017,2,0,1859,-77.03744974,38.91349774,NW,1250000,20009,2
180,4,1,Y,11,6,2013,2,0,1964,-77.03781165,38.91388219,NW,1395000,20009,2
181,3,1,N,8,5,2014,1,2,1964,-77.0375943,38.91389064,NW,1715000,20009,2
182,3,1,Y,13,6,2015,2,0,1963,-77.03744844,38.91388087,NW,1875000,20009,2
183,2,1,Y,9,4,2009,2,0,1200,-77.03820767,38.91378639,NW,305000,20009,2
184,2,0,Y,7,2,2017,1,1,362,-77.05300714,38.89974975,NW,599100,20037,2
185,4,1,Y,9,6,2002,1,1,1600,-77.05311249,38.90050551,NW,548000,20037,2
186,2,1,Y,6,2,2003,1,1,1600,-77.0530416,38.90050869,NW,606500,20037,2
187,2,2,Y,4,2,2012,1,1,1127,-77.05292978,38.90051703,NW,801000,20037,2
188,2,2,Y,6,3,2015,1,1,1393,-77.05297923,38.90051692,NW,852500,20037,2
189,3,0,Y,5,3,2007,1,1,997,-77.05164393,38.90053454,NW,1275000,20037,2
190,2,1,Y,5,2,2014,1,1,873,-77.05170141,38.90048101,NW,1060000,20037,2
191,2,1,Y,5,2,1999,1,1,834,-77.05163298,38.90038402,NW,360000,20037,2
192,1,0,N,5,2,2012,1,1,1726,-77.05119652,38.90423501,NW,825000,20037,2
193,1,1,Y,5,2,2012,1,1,1726,-77.05119148,38.90428105,NW,875000,20037,2
194,3,1,Y,6,3,2004,1,1,987,-77.05095174,38.90356192,NW,850000,20037,2
195,3,2,Y,7,3,2003,2,1,1128,-77.05090263,38.90356573,NW,525000,20037,2
196,3,1,Y,6,3,2011,1,1,987,-77.05084568,38.90356206,NW,780000,20037,2
197,3,0,Y,8,3,2015,2,1,1184,-77.05073085,38.90356382,NW,965150,20037,2
198,3,1,Y,9,3,2013,2,1,1157,-77.05067194,38.90356511,NW,925000,20037,2
199,2,0,Y,7,3,2008,1,0,1323,-77.04904466,38.90810133,NW,625000,20037,2
200,2,0,Y,6,2,2005,1,1,952,-77.03961289,38.9179666,NW,769000,20009,1
201,3,0,Y,6,2,2016,1,1,952,-77.03956677,38.91796302,NW,1000000,20009,1
202,2,1,N,6,3,2011,2,1,952,-77.03951971,38.91794916,NW,650000,20009,1
203,3,0,Y,8,4,1994,2,0,1360,-77.03898334,38.91720255,NW,295000,20009,1
204,2,1,Y,8,5,2016,1,1,1300,-77.03923126,38.91720328,NW,1180000,20009,1
205,3,0,Y,8,5,2005,2,0,1190,-77.03941022,38.91720286,NW,735000,20009,1
206,4,1,Y,10,5,2008,2,2,1190,-77.03946995,38.91720139,NW,1200000,20009,1
207,4,0,Y,10,4,2008,2,0,1190,-77.03959102,38.91720198,NW,771200,20009,1
208,2,1,N,8,3,1996,2,0,1190,-77.03977114,38.9172012,NW,275000,20009,1
209,3,0,N,11,3,2002,2,0,1190,-77.03983041,38.91720181,NW,4500,20009,1
210,4,1,Y,10,5,2014,2,0,1190,-77.04001052,38.91720202,NW,1175000,20009,1
211,6,1,Y,10,6,2012,2,1,1190,-77.04042402,38.91720098,NW,1231000,20009,1
212,1,1,Y,6,3,2014,1,0,960,-77.04028406,38.91744876,NW,772000,20009,1
213,1,1,Y,6,3,2013,1,0,960,-77.0402279,38.91744877,NW,755000,20009,1
214,1,0,N,6,3,1996,1,0,960,-77.04011536,38.91744845,NW,118000,20009,1
215,1,1,Y,6,3,2000,1,1,960,-77.03994758,38.9174486,NW,251000,20009,1
216,2,1,Y,6,2,2007,1,1,960,-77.03989166,38.91744853,NW,625000,20009,1
217,1,1,Y,6,3,2006,1,1,960,-77.03983458,38.91744819,NW,606500,20009,1
218,1,1,Y,6,3,1994,1,1,960,-77.0397218,38.91744733,NW,162000,20009,1
219,2,1,Y,6,3,2009,1,0,960,-77.03966553,38.91744735,NW,534000,20009,1
220,3,1,Y,6,4,2015,1,0,990,-77.03013673,38.91901125,NW,1014000,20009,1
221,3,1,Y,10,4,2011,2,4,874,-77.02987624,38.9190032,NW,1039000,20009,1
222,3,1,Y,7,4,2001,2,1,874,-77.02987551,38.91891447,NW,451550,20009,1
223,2,0,N,13,4,2008,2,0,1612,-77.03119161,38.91900917,NW,1200000,20009,1
224,4,2,Y,11,6,2014,2,2,1569,-77.03112507,38.91899333,NW,1260000,20009,1
225,2,0,Y,6,3,2015,1,0,1150,-77.03033684,38.91828197,NW,945000,20009,1
226,1,1,Y,6,2,2008,1,0,1162,-77.03039795,38.9182833,NW,660000,20009,1
227,1,1,Y,6,2,2008,1,0,1162,-77.03045042,38.91828545,NW,645000,20009,1
228,1,1,Y,7,2,2009,1,0,1162,-77.03050335,38.91828526,NW,563500,20009,1
229,2,1,Y,6,2,2006,1,1,1162,-77.03055778,38.91828524,NW,622000,20009,1
230,1,1,Y,6,3,2010,1,1,1162,-77.03061405,38.91828514,NW,649000,20009,1
231,1,1,Y,6,3,2010,1,1,1162,-77.0306687,38.9182817,NW,640000,20009,1
232,2,0,Y,6,2,2013,1,1,1162,-77.03077571,38.91828546,NW,693000,20009,1
233,1,1,Y,6,2,2013,1,1,1125,-77.03082991,38.91827707,NW,755000,20009,1
234,3,1,Y,9,3,2016,1,2,1056,-77.03135432,38.91901489,NW,1405000,20009,1
235,2,0,Y,10,2,1999,1,1,1140,-77.02990703,38.9173508,NW,159000,20009,1
236,2,0,Y,6,3,2018,2,0,640,-77.02985667,38.91798455,NW,1050000,20009,1
237,3,1,Y,7,3,2012,2,0,740,-77.02985181,38.91793266,NW,771000,20009,1
238,2,0,N,11,5,1994,2,1,2264,-77.02992726,38.91748105,NW,140000,20009,1
239,3,1,Y,9,4,2015,2,3,1881,-77.03761393,38.91174683,NW,2157000,20009,2
240,1,1,Y,5,2,1992,1,1,1254,-77.03741204,38.91176266,NW,275000,20009,2
241,1,0,N,4,2,2011,1,0,1254,-77.0373575,38.91175547,NW,475000,20009,2
242,2,0,Y,6,2,2010,2,0,1254,-77.03731242,38.91174846,NW,749000,20009,2
243,2,1,Y,7,3,1999,1,1,1830,-77.03725351,38.91243428,NW,375000,20009,2
244,2,0,Y,8,2,2003,2,0,2033,-77.03797298,38.91089407,NW,680000,20009,2
245,2,0,Y,9,3,2013,1,0,2033,-77.03790114,38.91087689,NW,1140000,20009,2
246,5,0,Y,7,6,2017,2,4,2033,-77.03763967,38.91093147,NW,1800000,20009,2
247,2,1,Y,10,3,2001,2,0,2033,-77.03756922,38.91093645,NW,730000,20009,2
248,1,1,N,6,2,1997,1,4,868,-77.03822769,38.9091952,NW,310000,20036,2
249,3,1,Y,8,4,2011,1,0,924,-77.03821251,38.90927583,NW,1175000,20036,2
250,3,1,Y,7,3,2009,1,1,1103,-77.03804209,38.90946181,NW,1015000,20036,2
251,3,1,Y,7,3,2006,1,1,1183,-77.03792956,38.9094732,NW,1210000,20036,2
252,3,1,Y,7,2,1997,1,1,1160,-77.03787215,38.90947187,NW,375000,20036,2
253,3,1,Y,10,4,1997,2,2,1623,-77.03479951,38.91781833,NW,315000,20009,1
254,3,1,Y,9,5,2014,2,2,1623,-77.03478738,38.91776942,NW,1250000,20009,1
255,2,0,Y,10,5,1992,2,1,1940,-77.03480632,38.91760177,NW,327500,20009,1
256,3,1,Y,10,4,2016,2,2,2155,-77.03480535,38.91749835,NW,1576000,20009,1
257,3,1,Y,8,5,2017,2,4,1199,-77.03477218,38.91734549,NW,1370000,20009,1
258,4,1,Y,8,5,2004,2,0,1199,-77.03479633,38.91720054,NW,950000,20009,1
259,2,1,Y,9,3,1992,1,2,1527,-77.03483921,38.91576847,NW,233250,20009,2
260,3,0,Y,11,4,2003,1,2,1400,-77.03489744,38.91576431,NW,678300,20009,2
261,2,0,Y,7,5,2015,1,0,939,-77.04902225,38.90837744,NW,940000,20037,2
262,3,0,Y,7,4,2017,1,1,1163,-77.04901749,38.90832727,NW,1120000,20037,2
263,3,1,Y,7,3,2009,2,1,971,-77.04933013,38.90293122,NW,1375000,20037,2
264,3,1,Y,9,3,2018,2,1,1101,-77.04929366,38.90303826,NW,1500000,20037,2
265,3,1,Y,9,4,2005,2,1,957,-77.04925852,38.90307854,NW,1625000,20037,2
266,3,1,Y,9,4,2003,1,0,796,-77.04914717,38.90310021,NW,890000,20037,2
267,4,0,Y,9,5,2015,2,2,882,-77.04904366,38.90312809,NW,1500000,20037,2
268,4,0,Y,10,4,2002,2,1,883,-77.04904409,38.90308025,NW,855000,20037,2
269,3,1,Y,8,3,2017,2,2,956,-77.04903794,38.903029,NW,1725000,20037,2
270,3,1,Y,9,4,2012,2,1,958,-77.04902442,38.90297423,NW,1260000,20037,2
271,2,2,Y,10,3,2010,2,1,957,-77.04904572,38.90292999,NW,1275000,20037,2
272,4,1,Y,12,4,2004,2,0,972,-77.04903911,38.90288036,NW,925000,20037,2
273,2,1,N,7,3,1997,2,0,1600,-77.04931092,38.89715669,NW,320000,20037,2
274,1,1,N,6,2,2003,1,0,960,-77.04906131,38.8971068,NW,460000,20052,2
275,2,2,N,5,3,1994,1,1,960,-77.04906358,38.89706302,NW,370000,20052,2
276,3,0,Y,11,7,2013,2,2,1052,-77.04685877,38.91299664,NW,1361000,20009,2
277,1,1,N,6,2,2008,1,1,1052,-77.04709697,38.91297934,NW,625000,20008,2
278,2,1,Y,7,2,2016,1,0,968,-77.04704939,38.91303458,NW,805000,20008,2
279,1,1,Y,7,2,2005,1,1,787,-77.04714258,38.91289536,NW,585000,20008,2
280,3,0,Y,9,4,1998,2,2,1029,-77.04682397,38.91338131,NW,570000,20009,2
281,2,0,Y,5,2,2006,1,0,960,-77.03955264,38.91744756,NW,450000,20009,1
282,1,1,Y,6,3,1992,1,1,960,-77.0394958,38.91744731,NW,144330,20009,1
283,1,1,Y,6,3,1995,1,1,960,-77.03944022,38.91744724,NW,149500,20009,1
284,1,1,Y,6,3,2005,1,1,960,-77.03938429,38.91744726,NW,534000,20009,1
285,2,1,Y,7,3,2017,1,1,1450,-77.03936759,38.91768328,NW,1155200,20009,1
286,2,1,Y,6,3,2017,1,1,1450,-77.03945223,38.91768443,NW,1037500,20009,1
287,1,1,Y,6,3,2009,1,1,1134,-77.03946724,38.91793494,NW,741600,20009,1
288,2,1,Y,7,3,2010,1,0,1133,-77.03941063,38.9179437,NW,730000,20009,1
289,3,1,Y,7,3,2012,1,0,1133,-77.03935228,38.91795111,NW,755000,20009,1
290,1,1,Y,6,3,2008,1,1,1133,-77.03929692,38.91793365,NW,716495,20009,1
291,3,0,Y,6,3,2008,1,1,1213,-77.03923869,38.91793502,NW,849000,20009,1
292,3,1,Y,8,4,2011,2,0,1295,-77.03918116,38.91794234,NW,581000,20009,1
293,1,0,N,6,3,1996,1,0,1295,-77.03912327,38.91794236,NW,232000,20009,1
294,3,1,Y,9,3,2015,1,1,1882,-77.03927163,38.9174391,NW,1264000,20009,1
295,2,1,Y,6,3,2008,1,0,771,-77.03887699,38.91798126,NW,584700,20009,1
