index,BATHRM,HF_BATHRM,AC,ROOMS,BEDRM,SALEDATE,KITCHENS,FIREPLACES,LANDAREA,LONGITUDE,LATITUDE,QUADRANT,PRICE,ZIPCODE,WARD
2896,2,0,N,8,4,2016,2,0,2000,-77.0104353,38.91092545,NW,765000,20001,5
2897,3,0,N,8,4,2017,2,0,2000,-77.01036543,38.91092546,NW,700000,20001,5
2898,3,0,Y,8,5,2014,2,2,2000,-77.01029902,38.91092483,NW,750000,20001,5
2899,2,0,N,8,4,2015,2,0,2000,-77.01023169,38.91092349,NW,725000,20001,5
2900,1,0,Y,6,3,2006,1,0,1600,-77.01076686,38.90982766,NW,439000,20001,5
2901,2,0,Y,6,2,2013,1,0,1600,-77.01082186,38.90984919,NW,221970,20001,5
2902,3,0,Y,6,3,2017,1,0,1600,-77.01087939,38.90983207,NW,825000,20001,5
2903,2,1,Y,7,3,2012,1,0,1600,-77.01105049,38.90982737,NW,514900,20001,5
2904,2,0,N,9,6,2015,1,0,1750,-77.01169265,38.91094011,NW,845000,20001,5
2905,3,1,Y,9,5,2011,1,1,1750,-77.01157008,38.91092769,NW,500000,20001,5
2906,3,1,Y,9,4,2005,2,2,1750,-77.01144256,38.91092851,NW,829900,20001,5
2907,1,0,N,7,3,2016,1,0,1200,-77.01192328,38.90904293,NW,800000,20001,5
2908,1,0,Y,6,3,2006,1,0,578,-77.01168641,38.90872766,NW,399000,20001,5
2909,1,0,N,6,3,2000,1,0,1700,-77.01195979,38.90885501,NW,90000,20001,5
2910,3,0,Y,6,4,2013,1,0,1800,-77.01183111,38.90945426,NW,623000,20001,5
2911,1,0,Y,6,2,2001,1,0,2025,-77.01140416,38.90946304,NW,166000,20001,5
2912,3,1,Y,8,3,2015,1,0,1200,-77.01192431,38.90900158,NW,709000,20001,5
2913,1,0,Y,5,2,2006,1,0,1020,-77.0117489,38.90872765,NW,520000,20001,5
2914,2,1,Y,7,3,2016,1,0,1800,-77.01192349,38.90896059,NW,725000,20001,5
2915,4,1,Y,9,4,2017,2,0,1800,-77.0119034,38.90946163,NW,995000,20001,5
2916,5,1,Y,8,5,2016,2,0,1727,-77.00967062,38.90740866,NW,570000,20001,5
2917,2,1,Y,6,3,2002,1,3,1710,-77.00978269,38.90740667,NW,72500,20001,5
