School,Ward,Include in ML Model,Rank (2018-19),SchoolDigger Star Rating
Cardozo Education Campus,1,Yes,28,1
School Without Walls High School,2,Yes,2,5
Woodrow Wilson High School,3,Yes,6,4
Coolidge High School,4,Yes,29,1
Dunbar High School,5,Yes,24,1
Eastern High School,6,Yes,20,2
H.D. Woodson High School,7,Yes,27,1
Anacostia High School,8,Yes,25,1
